ID,Checklist Item (Yes/No),Evidence To Observe,Sprint 1 Story Coverage,Score
C01,Team is ready to begin on time when called,Demo starts without delay beyond allocated transition/setup,"S1-005, S1-008",
C02,Demo environment is operational at start (app loads successfully),App loads and is usable before scripted steps begin,"S1-005, S1-009",
C03,Prepared data includes at least one non-engineering profile,Profile data shown is not limited to software roles only,"S1-022, S1-023",
C04,Two distinct accounts are prepared (User A and User B),Team can switch between accounts for security checks,S1-010 to S1-015,
C05,User registration works with email and password,New user can be created successfully,S1-010,
C06,Duplicate-email registration is rejected with clear message (negative),Duplicate registration attempt fails with meaningful feedback,S1-010,
C07,Valid login works for registered user,User reaches authenticated state after login,S1-011,
C08,Invalid password login shows meaningful error (negative),Login fails gracefully with clear message,S1-011,
C09,Logout invalidates session and protected page access is denied (negative),After logout protected route/API access is blocked,"S1-012, S1-014",
C10,User B cannot view/modify User A owned data (negative security case),Cross-user access attempt fails as expected,S1-015,
C11,Dashboard opens as primary workspace,Dashboard is the main post-login home flow,"S1-016, S1-018",
C12,Job cards render baseline fields,"Card includes title, company, stage, last activity",S1-020,
C13,Team can create a new job from dashboard flow,New job appears after create action,"S1-019, S1-021",
C14,Team can edit an existing job from dashboard flow,Existing job update is reflected on UI,"S1-019, S1-021",
C15,Job data persists after refresh/navigation,Created/edited job remains after reload,"S1-019, S1-021",
C16,Profile baseline section is present (identity/contact + summary),Required Sprint 1 profile sections are visible,S1-022,
C17,Profile baseline update saves successfully,Edited profile fields persist after save,S1-022,
C18,Profile completion indicator updates when baseline data changes,Indicator changes after update to baseline fields,S1-023,
C19,Profile validation failure shows clear field-level feedback (negative),Invalid/missing required input produces clear validation message,"S1-022, S1-023",
C20,Settings page exists and is reachable in app shell,Settings is present and navigable,S1-017,
C21,"Typography is consistent across Dashboard, Profile, and Settings",Same typographic system is used across major Sprint 1 screens,"S1-016, S1-017, S1-018",
C22,Form and error styling is consistent across major Sprint 1 screens,Inputs/labels/errors follow consistent style rules,"S1-016, S1-022, S1-023",
C23,Team opens GitHub Actions and shows latest relevant workflow run,Actions page is shown live with recent run context,S1-008,
C24,GitHub Actions evidence shows build + unit test execution,Workflow details clearly include build/test jobs,"S1-007, S1-008",
C25,Team is prepared to show at least three negative unit tests and explain each,Three negative tests are shown and briefly explained,"S1-007, S1-015",
